reg;jour;n_dose1;n_cum_dose1
27;2021-01-23;2888;419201725864314551688675222453438332741553080769116545475637289853170882888
27;2021-01-24;328;419201725864314551688675222453438332741553080769116545475637289853170882888328
27;2021-01-25;4699;4192017258643145516886752224534383327415530807691165454756372898531708828883284699
27;2021-01-26;6743;41920172586431455168867522245343833274155308076911654547563728985317088288832846996743
27;2021-01-27;6399;419201725864314551688675222453438332741553080769116545475637289853170882888328469967436399
28;2020-12-31;1;1
28;2021-01-04;16;116
28;2021-01-05;166;116166
28;2021-01-06;1330;1161661330
28;2021-01-07;2463;11616613302463
28;2021-01-08;3201;116166133024633201
28;2021-01-09;1312;1161661330246332011312
28;2021-01-10;695;1161661330246332011312695
28;2021-01-11;2938;11616613302463320113126952938
28;2021-01-12;3717;116166133024633201131269529383717
28;2021-01-13;4022;1161661330246332011312695293837174022
28;2021-01-14;7240;11616613302463320113126952938371740227240
28;2021-01-15;5793;116166133024633201131269529383717402272405793
28;2021-01-16;2033;1161661330246332011312695293837174022724057932033
28;2021-01-17;3845;11616613302463320113126952938371740227240579320333845
28;2021-01-18;8151;116166133024633201131269529383717402272405793203338458151
28;2021-01-19;6684;1161661330246332011312695293837174022724057932033384581516684
28;2021-01-20;5981;11616613302463320113126952938371740227240579320333845815166845981
28;2021-01-21;5694;116166133024633201131269529383717402272405793203338458151668459815694
28;2021-01-22;5215;1161661330246332011312695293837174022724057932033384581516684598156945215
28;2021-01-23;1971;11616613302463320113126952938371740227240579320333845815166845981569452151971
28;2021-01-24;1421;116166133024633201131269529383717402272405793203338458151668459815694521519711421
28;2021-01-25;5784;1161661330246332011312695293837174022724057932033384581516684598156945215197114215784
28;2021-01-26;4227;11616613302463320113126952938371740227240579320333845815166845981569452151971142157844227
28;2021-01-27;3732;116166133024633201131269529383717402272405793203338458151668459815694521519711421578442273732
32;2020-12-28;25;25
32;2020-12-29;12;2512
32;2021-01-04;79;251279
32;2021-01-05;292;251279292
32;2021-01-06;769;251279292769
32;2021-01-07;2280;2512792927692280
32;2021-01-08;2881;25127929276922802881
32;2021-01-09;932;25127929276922802881932
32;2021-01-10;631;25127929276922802881932631
32;2021-01-11;2951;251279292769228028819326312951
32;2021-01-12;4426;2512792927692280288193263129514426
32;2021-01-13;4413;25127929276922802881932631295144264413
32;2021-01-14;4993;251279292769228028819326312951442644134993
32;2021-01-15;4612;2512792927692280288193263129514426441349934612
32;2021-01-16;1550;25127929276922802881932631295144264413499346121550
32;2021-01-17;853;25127929276922802881932631295144264413499346121550853
32;2021-01-18;6438;251279292769228028819326312951442644134993461215508536438
32;2021-01-19;9233;2512792927692280288193263129514426441349934612155085364389233
32;2021-01-20;9471;25127929276922802881932631295144264413499346121550853643892339471
32;2021-01-21;11702;2512792927692280288193263129514426441349934612155085364389233947111702
32;2021-01-22;9155;25127929276922802881932631295144264413499346121550853643892339471117029155
32;2021-01-23;3076;251279292769228028819326312951442644134993461215508536438923394711170291553076
32;2021-01-24;951;251279292769228028819326312951442644134993461215508536438923394711170291553076951
32;2021-01-25;6322;2512792927692280288193263129514426441349934612155085364389233947111702915530769516322
32;2021-01-26;6727;25127929276922802881932631295144264413499346121550853643892339471117029155307695163226727
32;2021-01-27;4379;251279292769228028819326312951442644134993461215508536438923394711170291553076951632267274379
44;2020-12-31;10;10
44;2021-01-04;203;10203
44;2021-01-05;750;10203750
44;2021-01-06;1219;102037501219
44;2021-01-07;2282;1020375012192282
44;2021-01-08;2824;10203750121922822824
44;2021-01-09;839;10203750121922822824839
44;2021-01-10;203;10203750121922822824839203
44;2021-01-11;2741;102037501219228228248392032741
44;2021-01-12;4755;1020375012192282282483920327414755
44;2021-01-13;6958;10203750121922822824839203274147556958
44;2021-01-14;8040;102037501219228228248392032741475569588040
44;2021-01-15;5841;1020375012192282282483920327414755695880405841
44;2021-01-16;1564;10203750121922822824839203274147556958804058411564
44;2021-01-17;869;10203750121922822824839203274147556958804058411564869
44;2021-01-18;8204;102037501219228228248392032741475569588040584115648698204
44;2021-01-19;9875;1020375012192282282483920327414755695880405841156486982049875
44;2021-01-20;10200;102037501219228228248392032741475569588040584115648698204987510200
44;2021-01-21;10630;10203750121922822824839203274147556958804058411564869820498751020010630
44;2021-01-22;8912;102037501219228228248392032741475569588040584115648698204987510200106308912
44;2021-01-23;3038;1020375012192282282483920327414755695880405841156486982049875102001063089123038
44;2021-01-24;1553;10203750121922822824839203274147556958804058411564869820498751020010630891230381553
44;2021-01-25;6045;102037501219228228248392032741475569588040584115648698204987510200106308912303815536045
44;2021-01-26;5290;1020375012192282282483920327414755695880405841156486982049875102001063089123038155360455290
44;2021-01-27;6551;10203750121922822824839203274147556958804058411564869820498751020010630891230381553604552906551
52;2021-01-03;1;1
52;2021-01-04;34;134
52;2021-01-05;162;134162
52;2021-01-06;295;134162295
52;2021-01-07;740;134162295740
52;2021-01-08;1399;1341622957401399
52;2021-01-09;1042;13416229574013991042
52;2021-01-10;638;13416229574013991042638
52;2021-01-11;2055;134162295740139910426382055
52;2021-01-12;2909;1341622957401399104263820552909
52;2021-01-13;2728;13416229574013991042638205529092728
52;2021-01-14;3019;134162295740139910426382055290927283019
52;2021-01-15;2749;1341622957401399104263820552909272830192749
52;2021-01-16;813;1341622957401399104263820552909272830192749813
52;2021-01-17;485;1341622957401399104263820552909272830192749813485
52;2021-01-18;3104;13416229574013991042638205529092728301927498134853104
52;2021-01-19;5878;134162295740139910426382055290927283019274981348531045878
52;2021-01-20;7510;1341622957401399104263820552909272830192749813485310458787510
52;2021-01-21;11063;134162295740139910426382055290927283019274981348531045878751011063
52;2021-01-22;6805;1341622957401399104263820552909272830192749813485310458787510110636805
52;2021-01-23;1660;13416229574013991042638205529092728301927498134853104587875101106368051660
52;2021-01-24;174;13416229574013991042638205529092728301927498134853104587875101106368051660174
52;2021-01-25;2887;134162295740139910426382055290927283019274981348531045878751011063680516601742887
52;2021-01-26;6355;1341622957401399104263820552909272830192749813485310458787510110636805166017428876355
52;2021-01-27;6354;13416229574013991042638205529092728301927498134853104587875101106368051660174288763556354
53;2021-01-02;1;1
53;2021-01-04;40;140
53;2021-01-05;198;140198
53;2021-01-06;326;140198326
53;2021-01-07;817;140198326817
53;2021-01-08;1197;1401983268171197
53;2021-01-09;33;140198326817119733
53;2021-01-11;1596;1401983268171197331596
53;2021-01-12;3032;14019832681711973315963032
53;2021-01-13;3084;140198326817119733159630323084
53;2021-01-14;3429;1401983268171197331596303230843429
53;2021-01-15;3048;14019832681711973315963032308434293048
53;2021-01-16;679;14019832681711973315963032308434293048679
53;2021-01-17;180;14019832681711973315963032308434293048679180
53;2021-01-18;3142;140198326817119733159630323084342930486791803142
53;2021-01-19;7632;1401983268171197331596303230843429304867918031427632
53;2021-01-20;6566;14019832681711973315963032308434293048679180314276326566
53;2021-01-21;10087;1401983268171197331596303230843429304867918031427632656610087
53;2021-01-22;7290;14019832681711973315963032308434293048679180314276326566100877290
53;2021-01-23;1454;140198326817119733159630323084342930486791803142763265661008772901454
53;2021-01-24;252;140198326817119733159630323084342930486791803142763265661008772901454252
53;2021-01-25;3018;1401983268171197331596303230843429304867918031427632656610087729014542523018
53;2021-01-26;3945;14019832681711973315963032308434293048679180314276326566100877290145425230183945
53;2021-01-27;6386;140198326817119733159630323084342930486791803142763265661008772901454252301839456386
75;2020-12-29;2;2
75;2021-01-04;85;285
75;2021-01-05;90;28590
75;2021-01-06;703;28590703
75;2021-01-07;4635;285907034635
75;2021-01-08;5028;2859070346355028
75;2021-01-09;826;2859070346355028826
75;2021-01-10;473;2859070346355028826473
75;2021-01-11;3235;28590703463550288264733235
75;2021-01-12;5591;285907034635502882647332355591
75;2021-01-13;6123;2859070346355028826473323555916123
75;2021-01-14;7529;28590703463550288264733235559161237529
75;2021-01-15;6804;285907034635502882647332355591612375296804
75;2021-01-16;1473;2859070346355028826473323555916123752968041473
75;2021-01-17;405;2859070346355028826473323555916123752968041473405
75;2021-01-18;6384;28590703463550288264733235559161237529680414734056384
75;2021-01-19;13201;2859070346355028826473323555916123752968041473405638413201
75;2021-01-20;14289;285907034635502882647332355591612375296804147340563841320114289
75;2021-01-21;15821;28590703463550288264733235559161237529680414734056384132011428915821
75;2021-01-22;12295;2859070346355028826473323555916123752968041473405638413201142891582112295
75;2021-01-23;4302;28590703463550288264733235559161237529680414734056384132011428915821122954302
75;2021-01-24;672;28590703463550288264733235559161237529680414734056384132011428915821122954302672
75;2021-01-25;8540;285907034635502882647332355591612375296804147340563841320114289158211229543026728540
75;2021-01-26;10658;28590703463550288264733235559161237529680414734056384132011428915821122954302672854010658
75;2021-01-27;11107;2859070346355028826473323555916123752968041473405638413201142891582112295430267285401065811107
76;2020-12-31;1;1
76;2021-01-03;1;11
76;2021-01-04;58;1158
76;2021-01-05;461;1158461
76;2021-01-06;757;1158461757
76;2021-01-07;2423;11584617572423
76;2021-01-08;3015;115846175724233015
76;2021-01-09;1459;1158461757242330151459
76;2021-01-10;461;1158461757242330151459461
76;2021-01-11;3238;11584617572423301514594613238
76;2021-01-12;5215;115846175724233015145946132385215
76;2021-01-13;5918;1158461757242330151459461323852155918
76;2021-01-14;8284;11584617572423301514594613238521559188284
76;2021-01-15;6613;115846175724233015145946132385215591882846613
76;2021-01-16;1854;1158461757242330151459461323852155918828466131854
76;2021-01-17;664;1158461757242330151459461323852155918828466131854664
