dep;jour;n_dose1;n_cum_dose1
66;2021-01-14;886;3671
66;2021-01-15;576;4247
66;2021-01-16;106;4353
66;2021-01-17;46;4399
66;2021-01-18;646;5045
66;2021-01-19;700;5745
66;2021-01-20;1093;6838
66;2021-01-21;2088;8926
66;2021-01-22;1292;10218
66;2021-01-23;391;10609
66;2021-01-24;219;10828
66;2021-01-25;719;11547
66;2021-01-26;755;12302
66;2021-01-27;806;13108
67;2021-01-04;39;39
67;2021-01-05;164;203
67;2021-01-06;120;323
67;2021-01-07;234;557
67;2021-01-08;180;737
67;2021-01-09;110;847
67;2021-01-10;56;903
67;2021-01-11;160;1063
67;2021-01-12;444;1507
67;2021-01-13;545;2052
67;2021-01-14;984;3036
67;2021-01-15;802;3838
67;2021-01-16;158;3996
67;2021-01-17;94;4090
67;2021-01-18;821;4911
67;2021-01-19;1399;6310
67;2021-01-20;1725;8035
67;2021-01-21;1924;9959
67;2021-01-22;1855;11814
67;2021-01-23;782;12596
67;2021-01-24;376;12972
67;2021-01-25;407;13379
67;2021-01-26;128;13507
67;2021-01-27;1197;14704
68;2021-01-05;11;11
68;2021-01-06;244;255
68;2021-01-07;75;330
68;2021-01-08;118;448
68;2021-01-09;20;468
68;2021-01-11;82;550
68;2021-01-12;338;888
68;2021-01-13;646;1534
68;2021-01-14;342;1876
68;2021-01-15;188;2064
68;2021-01-18;378;2442
68;2021-01-19;555;2997
68;2021-01-20;700;3697
68;2021-01-21;1135;4832
68;2021-01-22;1321;6153
68;2021-01-23;215;6368
68;2021-01-24;691;7059
68;2021-01-25;1289;8348
68;2021-01-26;1444;9792
68;2021-01-27;2299;12091
69;2020-12-28;6;6
69;2020-12-29;5;11
69;2020-12-30;5;16
69;2020-12-31;6;22
69;2021-01-02;1;23
69;2021-01-04;9;32
69;2021-01-05;170;202
69;2021-01-06;416;618
69;2021-01-07;731;1349
69;2021-01-08;721;2070
69;2021-01-09;31;2101
69;2021-01-11;1072;3173
69;2021-01-12;1224;4397
69;2021-01-13;1215;5612
69;2021-01-14;2061;7673
69;2021-01-15;1683;9356
69;2021-01-16;875;10231
69;2021-01-17;267;10498
69;2021-01-18;1502;12000
69;2021-01-19;3301;15301
69;2021-01-20;4113;19414
69;2021-01-21;3693;23107
69;2021-01-22;2878;25985
69;2021-01-23;1205;27190
69;2021-01-24;89;27279
69;2021-01-25;2002;29281
69;2021-01-26;2314;31595
69;2021-01-27;2167;33762
70;2021-01-06;23;23
70;2021-01-07;56;79
70;2021-01-08;1;80
70;2021-01-11;131;211
70;2021-01-12;137;348
70;2021-01-13;106;454
70;2021-01-14;117;571
70;2021-01-15;90;661
70;2021-01-16;64;725
70;2021-01-18;356;1081
70;2021-01-19;467;1548
70;2021-01-20;491;2039
70;2021-01-21;601;2640
70;2021-01-22;453;3093
70;2021-01-23;260;3353
70;2021-01-24;3;3356
70;2021-01-25;309;3665
70;2021-01-26;310;3975
70;2021-01-27;308;4283
71;2021-01-05;10;10
71;2021-01-06;70;80
71;2021-01-07;66;146
71;2021-01-08;137;283
71;2021-01-09;117;400
71;2021-01-10;1;401
71;2021-01-11;230;631
71;2021-01-12;739;1370
71;2021-01-13;491;1861
71;2021-01-14;484;2345
71;2021-01-15;597;2942
71;2021-01-16;1;2943
71;2021-01-18;1012;3955
71;2021-01-19;1595;5550
71;2021-01-20;1414;6964
71;2021-01-21;1837;8801
71;2021-01-22;1367;10168
71;2021-01-23;804;10972
71;2021-01-25;1031;12003
71;2021-01-26;1423;13426
71;2021-01-27;1186;14612
72;2021-01-05;14;14
72;2021-01-06;27;41
72;2021-01-07;108;149
72;2021-01-08;177;326
72;2021-01-09;36;362
72;2021-01-11;409;771
72;2021-01-12;532;1303
72;2021-01-13;465;1768
72;2021-01-14;546;2314
72;2021-01-15;390;2704
72;2021-01-16;91;2795
72;2021-01-18;246;3041
72;2021-01-19;751;3792
72;2021-01-20;1382;5174
72;2021-01-21;1553;6727
72;2021-01-22;1033;7760
72;2021-01-23;32;7792
72;2021-01-25;488;8280
72;2021-01-26;1110;9390
72;2021-01-27;771;10161
73;2021-01-07;30;30
73;2021-01-08;79;109
73;2021-01-11;79;188
73;2021-01-12;274;462
73;2021-01-13;344;806
73;2021-01-14;459;1265
73;2021-01-15;588;1853
73;2021-01-16;125;1978
73;2021-01-18;526;2504
73;2021-01-19;1029;3533
73;2021-01-20;848;4381
73;2021-01-21;834;5215
73;2021-01-22;690;5905
73;2021-01-23;384;6289
73;2021-01-25;499;6788
73;2021-01-26;521;7309
73;2021-01-27;889;8198
74;2021-01-06;41;41
74;2021-01-07;166;207
74;2021-01-08;243;450
74;2021-01-09;78;528
74;2021-01-10;72;600
74;2021-01-11;218;818
74;2021-01-12;244;1062
74;2021-01-13;357;1419
74;2021-01-14;303;1722
74;2021-01-15;247;1969
74;2021-01-16;129;2098
74;2021-01-17;90;2188
74;2021-01-18;227;2415
74;2021-01-19;462;2877
74;2021-01-20;972;3849
74;2021-01-21;1168;5017
74;2021-01-22;899;5916
74;2021-01-23;328;6244
74;2021-01-24;89;6333
74;2021-01-25;724;7057
74;2021-01-26;1116;8173
74;2021-01-27;837;9010
75;2020-12-29;4;4
75;2020-12-30;19;23
75;2020-12-31;19;42
75;2021-01-02;40;82
75;2021-01-03;72;154
75;2021-01-04;253;407
75;2021-01-05;570;977
75;2021-01-06;893;1870
75;2021-01-07;1286;3156
75;2021-01-08;1847;5003
75;2021-01-09;936;5939
75;2021-01-10;907;6846
75;2021-01-11;1235;8081
75;2021-01-12;1727;9808
75;2021-01-13;1703;11511
75;2021-01-14;1982;13493
75;2021-01-15;1730;15223
75;2021-01-16;344;15567
75;2021-01-17;79;15646
75;2021-01-18;1856;17502
75;2021-01-19;2826;20328
75;2021-01-20;3306;23634
75;2021-01-21;3825;27459
75;2021-01-22;3633;31092
75;2021-01-23;1375;32467
75;2021-01-24;412;32879
75;2021-01-25;1348;34227
75;2021-01-26;2018;36245
75;2021-01-27;2486;38731
76;2021-01-04;16;16
76;2021-01-05;138;154
76;2021-01-06;638;792
76;2021-01-07;1308;2100
76;2021-01-08;1497;3597
76;2021-01-09;732;4329
76;2021-01-10;490;4819
76;2021-01-11;1267;6086
76;2021-01-12;1298;7384
76;2021-01-13;1120;8504
76;2021-01-14;1988;10492
76;2021-01-15;1796;12288
76;2021-01-16;946;13234
76;2021-01-17;2793;16027
76;2021-01-18;4071;20098
76;2021-01-19;2845;22943
76;2021-01-20;1889;24832
76;2021-01-21;1714;26546
76;2021-01-22;1568;28114
76;2021-01-23;443;28557
76;2021-01-24;96;28653
76;2021-01-25;1321;29974
76;2021-01-26;1221;31195
76;2021-01-27;1233;32428
77;2021-01-04;5;5
77;2021-01-05;191;196
77;2021-01-06;199;395
77;2021-01-07;474;869
77;2021-01-08;563;1432
77;2021-01-09;272;1704
77;2021-01-10;233;1937
77;2021-01-11;554;2491
77;2021-01-12;731;3222
77;2021-01-13;750;3972
77;2021-01-14;747;4719
77;2021-01-15;753;5472
77;2021-01-16;167;5639
77;2021-01-17;131;5770
77;2021-01-18;1161;6931
77;2021-01-19;1605;8536
77;2021-01-20;2363;10899
77;2021-01-21;1884;12783
77;2021-01-22;1090;13873
77;2021-01-23;345;14218
77;2021-01-24;43;14261
77;2021-01-25;926;15187
77;2021-01-26;1519;16706
77;2021-01-27;1215;17921
78;2020-12-31;15;15
78;2021-01-04;141;156
78;2021-01-05;175;331
78;2021-01-06;203;534
78;2021-01-07;377;911
78;2021-01-08;556;1467
78;2021-01-09;22;1489
78;2021-01-11;723;2212
78;2021-01-12;836;3048
78;2021-01-13;631;3679
78;2021-01-14;750;4429
78;2021-01-15;761;5190
78;2021-01-16;28;5218
78;2021-01-18;1333;6551
78;2021-01-19;1758;8309
78;2021-01-20;1519;9828
78;2021-01-21;3023;12851
78;2021-01-22;2012;14863
78;2021-01-23;255;15118
78;2021-01-24;4;15122
78;2021-01-25;889;16011
78;2021-01-26;1464;17475
78;2021-01-27;1671;19146
79;2021-01-07;155;155
79;2021-01-08;165;320
79;2021-01-09;98;418
79;2021-01-10;3;421
79;2021-01-11;137;558
79;2021-01-12;176;734
79;2021-01-13;227;961
79;2021-01-14;479;1440
79;2021-01-15;567;2007
79;2021-01-16;66;2073
79;2021-01-18;458;2531
79;2021-01-19;1281;3812
79;2021-01-20;1536;5348
79;2021-01-21;1959;7307
79;2021-01-22;861;8168
79;2021-01-23;64;8232
79;2021-01-25;638;8870
79;2021-01-26;540;9410
79;2021-01-27;716;10126
80;2020-12-29;11;11
80;2021-01-06;30;41
80;2021-01-07;264;305
80;2021-01-08;280;585
80;2021-01-09;108;693
80;2021-01-10;21;714
80;2021-01-11;275;989
80;2021-01-12;426;1415
80;2021-01-13;512;1927
80;2021-01-14;454;2381
80;2021-01-15;328;2709
80;2021-01-16;102;2811
80;2021-01-17;102;2913
80;2021-01-18;411;3324
80;2021-01-19;881;4205
80;2021-01-20;1046;5251
80;2021-01-21;1008;6259
80;2021-01-22;1110;7369
80;2021-01-23;905;8274
80;2021-01-24;753;9027
80;2021-01-25;1409;10436
80;2021-01-26;1385;11821
80;2021-01-27;811;12632
81;2021-01-04;1;1
81;2021-01-06;4;5
81;2021-01-07;263;268
81;2021-01-08;305;573
81;2021-01-09;71;644
81;2021-01-11;121;765
81;2021-01-12;166;931
81;2021-01-13;225;1156
81;2021-01-14;898;2054
81;2021-01-15;477;2531
81;2021-01-16;67;2598
81;2021-01-18;528;3126
81;2021-01-19;634;3760
81;2021-01-20;697;4457
81;2021-01-21;1085;5542
81;2021-01-22;777;6319
81;2021-01-23;217;6536
81;2021-01-24;100;6636
81;2021-01-25;519;7155
81;2021-01-26;593;7748
81;2021-01-27;513;8261
82;2021-01-05;79;79
82;2021-01-06;1;80
82;2021-01-07;74;154
82;2021-01-08;45;199
82;2021-01-09;77;276
82;2021-01-11;92;368
82;2021-01-12;259;627
82;2021-01-13;305;932
82;2021-01-14;432;1364
82;2021-01-15;601;1965
82;2021-01-16;226;2191
82;2021-01-17;89;2280
82;2021-01-18;430;2710
82;2021-01-19;443;3153
82;2021-01-20;656;3809
82;2021-01-21;418;4227
82;2021-01-22;477;4704
82;2021-01-23;151;4855
82;2021-01-25;371;5226
82;2021-01-26;441;5667
82;2021-01-27;445;6112
83;2021-01-05;2;2
83;2021-01-06;68;70
83;2021-01-07;321;391
83;2021-01-08;402;793
83;2021-01-09;48;841
83;2021-01-11;465;1306
83;2021-01-12;925;2231
83;2021-01-13;941;3172
83;2021-01-14;761;3933
83;2021-01-15;668;4601
83;2021-01-16;37;4638
83;2021-01-18;1104;5742
83;2021-01-19;1807;7549
83;2021-01-20;1566;9115
83;2021-01-21;1875;10990
83;2021-01-22;1500;12490
83;2021-01-23;233;12723
83;2021-01-25;1481;14204
83;2021-01-26;1576;15780
83;2021-01-27;1884;17664
84;2021-01-07;65;65
84;2021-01-08;62;127
84;2021-01-09;30;157
84;2021-01-10;1;158
84;2021-01-11;213;371
84;2021-01-12;548;919
84;2021-01-13;326;1245
84;2021-01-14;722;1967
84;2021-01-15;585;2552
84;2021-01-16;159;2711
84;2021-01-17;27;2738
84;2021-01-18;671;3409
84;2021-01-19;851;4260
84;2021-01-20;976;5236
84;2021-01-21;982;6218
84;2021-01-22;1103;7321
84;2021-01-23;239;7560
84;2021-01-25;785;8345
84;2021-01-26;902;9247
84;2021-01-27;988;10235
85;2021-01-04;25;25
85;2021-01-05;61;86
85;2021-01-06;106;192
85;2021-01-07;190;382
85;2021-01-08;275;657
85;2021-01-09;288;945
85;2021-01-10;59;1004
85;2021-01-11;451;1455
85;2021-01-12;514;1969
85;2021-01-13;435;2404
85;2021-01-14;623;3027
85;2021-01-15;383;3410
85;2021-01-16;253;3663
85;2021-01-17;36;3699
85;2021-01-18;988;4687
85;2021-01-19;1351;6038
85;2021-01-20;1835;7873
85;2021-01-21;2850;10723
85;2021-01-22;1587;12310
85;2021-01-23;456;12766
85;2021-01-24;49;12815
85;2021-01-25;574;13389
85;2021-01-26;860;14249
85;2021-01-27;1359;15608
86;2021-01-06;177;177
86;2021-01-07;664;841
86;2021-01-08;542;1383
86;2021-01-10;173;1556
86;2021-01-11;281;1837
86;2021-01-12;456;2293
86;2021-01-13;324;2617
86;2021-01-14;462;3079
86;2021-01-15;441;3520
86;2021-01-18;543;4063
86;2021-01-19;1694;5757
86;2021-01-20;1358;7115
86;2021-01-21;1222;8337
86;2021-01-22;765;9102
86;2021-01-23;308;9410
86;2021-01-25;577;9987
86;2021-01-26;687;10674
86;2021-01-27;721;11395
87;2021-01-04;1;1
87;2021-01-06;10;11
87;2021-01-07;296;307
87;2021-01-08;405;712
87;2021-01-09;62;774
87;2021-01-10;33;807
87;2021-01-11;423;1230
87;2021-01-12;642;1872
87;2021-01-13;618;2490
87;2021-01-14;442;2932
87;2021-01-15;490;3422
87;2021-01-16;109;3531
87;2021-01-17;1;3532
87;2021-01-18;629;4161
87;2021-01-19;626;4787
87;2021-01-20;628;5415
87;2021-01-21;657;6072
87;2021-01-22;750;6822
87;2021-01-23;267;7089
87;2021-01-25;587;7676
87;2021-01-26;531;8207
87;2021-01-27;568;8775
88;2021-01-06;1;1
88;2021-01-07;69;70
88;2021-01-08;153;223
88;2021-01-09;146;369
88;2021-01-11;185;554
88;2021-01-12;422;976
88;2021-01-13;468;1444
88;2021-01-14;301;1745
88;2021-01-15;372;2117
88;2021-01-16;31;2148
88;2021-01-18;458;2606
88;2021-01-19;428;3034
88;2021-01-20;458;3492
88;2021-01-21;1472;4964
88;2021-01-22;1133;6097
88;2021-01-23;283;6380
88;2021-01-24;293;6673
88;2021-01-25;895;7568
88;2021-01-26;299;7867
88;2021-01-27;2;7869
89;2021-01-06;48;48
89;2021-01-07;201;249
89;2021-01-08;47;296
89;2021-01-11;188;484
89;2021-01-12;312;796
89;2021-01-13;489;1285
89;2021-01-14;594;1879
89;2021-01-15;260;2139
89;2021-01-16;88;2227
89;2021-01-18;483;2710
89;2021-01-19;784;3494
89;2021-01-20;723;4217
89;2021-01-21;832;5049
89;2021-01-22;989;6038
89;2021-01-23;194;6232
89;2021-01-24;102;6334
89;2021-01-25;472;6806
89;2021-01-26;553;7359
89;2021-01-27;467;7826
90;2021-01-08;170;170
90;2021-01-09;46;216
90;2021-01-11;200;416
90;2021-01-12;426;842
90;2021-01-13;460;1302
90;2021-01-14;405;1707
90;2021-01-15;356;2063
90;2021-01-16;111;2174
90;2021-01-17;1;2175
90;2021-01-18;362;2537
90;2021-01-19;459;2996
90;2021-01-20;346;3342
90;2021-01-21;304;3646
90;2021-01-22;346;3992
90;2021-01-23;98;4090
90;2021-01-25;319;4409
90;2021-01-26;224;4633
90;2021-01-27;254;4887
91;2021-01-05;71;71
91;2021-01-06;170;241
91;2021-01-07;446;687
91;2021-01-08;353;1040
91;2021-01-09;83;1123
91;2021-01-11;509;1632
91;2021-01-12;732;2364
91;2021-01-13;531;2895
91;2021-01-14;519;3414
91;2021-01-15;403;3817
91;2021-01-16;314;4131
91;2021-01-17;115;4246
91;2021-01-18;904;5150
91;2021-01-19;1645;6795
91;2021-01-20;1872;8667
91;2021-01-21;1542;10209
91;2021-01-22;1579;11788
91;2021-01-23;404;12192
91;2021-01-24;40;12232
91;2021-01-25;963;13195
91;2021-01-26;1355;14550
91;2021-01-27;1994;16544
92;2020-12-29;15;15
92;2020-12-30;5;20
92;2021-01-01;8;28
92;2021-01-04;52;80
92;2021-01-05;178;258
92;2021-01-06;302;560
92;2021-01-07;425;985
92;2021-01-08;539;1524
92;2021-01-09;90;1614
92;2021-01-10;16;1630
92;2021-01-11;556;2186
92;2021-01-12;895;3081
92;2021-01-13;787;3868
92;2021-01-14;733;4601
92;2021-01-15;501;5102
92;2021-01-16;131;5233
92;2021-01-17;3;5236
92;2021-01-18;1223;6459
92;2021-01-19;1265;7724
92;2021-01-20;1464;9188
92;2021-01-21;2649;11837
92;2021-01-22;2091;13928
92;2021-01-23;124;14052
92;2021-01-24;6;14058
92;2021-01-25;668;14726
92;2021-01-26;1064;15790
92;2021-01-27;1727;17517
93;2020-12-27;9;9
93;2020-12-30;39;48
93;2020-12-31;1;49
93;2021-01-01;1;50
93;2021-01-05;21;71
93;2021-01-06;137;208
93;2021-01-07;281;489
93;2021-01-08;421;910
93;2021-01-09;18;928
93;2021-01-11;343;1271
93;2021-01-12;469;1740
93;2021-01-13;534;2274
93;2021-01-14;514;2788
93;2021-01-15;325;3113
93;2021-01-16;97;3210
93;2021-01-17;5;3215
93;2021-01-18;955;4170
93;2021-01-19;1283;5453
93;2021-01-20;1340;6793
93;2021-01-21;1556;8349
93;2021-01-22;1191;9540
93;2021-01-23;666;10206
93;2021-01-25;1058;11264
93;2021-01-26;1209;12473
93;2021-01-27;1778;14251
94;2020-12-31;1;1
94;2021-01-04;22;23
94;2021-01-05;169;192
94;2021-01-06;258;450
94;2021-01-07;526;976
94;2021-01-08;567;1543
94;2021-01-09;46;1589
94;2021-01-10;18;1607
94;2021-01-11;579;2186
94;2021-01-12;686;2872
94;2021-01-13;850;3722
94;2021-01-14;1057;4779
94;2021-01-15;760;5539
94;2021-01-16;187;5726
94;2021-01-17;81;5807
94;2021-01-18;1022;6829
94;2021-01-19;1560;8389
94;2021-01-20;1707;10096
94;2021-01-21;2152;12248
94;2021-01-22;1552;13800
94;2021-01-23;550;14350
94;2021-01-24;280;14630
94;2021-01-25;1168;15798
94;2021-01-26;1273;17071
94;2021-01-27;1300;18371
95;2021-01-04;46;46
95;2021-01-05;281;327
95;2021-01-06;144;471
95;2021-01-07;107;578
95;2021-01-08;219;797
95;2021-01-09;249;1046
95;2021-01-10;376;1422
95;2021-01-11;401;1823
95;2021-01-12;469;2292
95;2021-01-13;636;2928
95;2021-01-14;799;3727
95;2021-01-15;716;4443
95;2021-01-16;293;4736
95;2021-01-17;210;4946
95;2021-01-18;1309;6255
95;2021-01-19;1340;7595
95;2021-01-20;1727;9322
95;2021-01-21;1726;11048
95;2021-01-22;1209;12257
95;2021-01-23;626;12883
95;2021-01-24;177;13060
95;2021-01-25;759;13819
95;2021-01-26;932;14751
95;2021-01-27;1191;15942
971;2021-01-12;20;20
971;2021-01-13;6;26
971;2021-01-14;24;50
971;2021-01-15;24;74
971;2021-01-18;29;103
971;2021-01-19;48;151
971;2021-01-20;42;193
971;2021-01-21;56;249
971;2021-01-22;35;284
971;2021-01-25;68;352
971;2021-01-26;61;413
971;2021-01-27;109;522
972;2021-01-06;5;5
972;2021-01-07;30;35
972;2021-01-08;76;111
972;2021-01-09;20;131
972;2021-01-11;111;242
972;2021-01-12;75;317
972;2021-01-13;59;376
972;2021-01-14;80;456
972;2021-01-15;118;574
972;2021-01-16;49;623
972;2021-01-18;145;768
972;2021-01-19;123;891
972;2021-01-20;156;1047
972;2021-01-21;161;1208
972;2021-01-22;147;1355
972;2021-01-23;56;1411
972;2021-01-25;146;1557
972;2021-01-26;111;1668
972;2021-01-27;154;1822
973;2021-01-13;29;29
973;2021-01-14;46;75
973;2021-01-15;34;109
973;2021-01-16;17;126
973;2021-01-18;61;187
973;2021-01-19;141;328
973;2021-01-20;119;447
973;2021-01-21;107;554
973;2021-01-22;63;617
973;2021-01-25;56;673
973;2021-01-26;96;769
973;2021-01-27;103;872
974;2021-01-05;1;1
974;2021-01-15;125;126
974;2021-01-16;20;146
974;2021-01-18;49;195
974;2021-01-19;366;561
974;2021-01-20;347;908
974;2021-01-21;510;1418
974;2021-01-22;370;1788
974;2021-01-23;72;1860
974;2021-01-25;233;2093
974;2021-01-26;339;2432
974;2021-01-27;248;2680
976;2021-01-25;49;49
976;2021-01-26;34;83
976;2021-01-27;90;173
977;2021-01-18;1;1
