reg;jour;n_dose1;n_cum_dose1
44;2021-01-06;1219;2182
44;2021-01-07;2282;4464
44;2021-01-08;2824;7288
44;2021-01-09;839;8127
44;2021-01-10;203;8330
44;2021-01-11;2741;11071
44;2021-01-12;4755;15826
44;2021-01-13;6958;22784
44;2021-01-14;8040;30824
44;2021-01-15;5841;36665
44;2021-01-16;1564;38229
44;2021-01-17;869;39098
44;2021-01-18;8204;47302
44;2021-01-19;9875;57177
44;2021-01-20;10200;67377
44;2021-01-21;10630;78007
44;2021-01-22;8912;86919
44;2021-01-23;3038;89957
44;2021-01-24;1553;91510
44;2021-01-25;6045;97555
44;2021-01-26;5290;102845
44;2021-01-27;6551;109396
52;2021-01-03;1;1
52;2021-01-04;34;35
52;2021-01-05;162;197
52;2021-01-06;295;492
52;2021-01-07;740;1232
52;2021-01-08;1399;2631
52;2021-01-09;1042;3673
52;2021-01-10;638;4311
52;2021-01-11;2055;6366
52;2021-01-12;2909;9275
52;2021-01-13;2728;12003
52;2021-01-14;3019;15022
52;2021-01-15;2749;17771
52;2021-01-16;813;18584
52;2021-01-17;485;19069
52;2021-01-18;3104;22173
52;2021-01-19;5878;28051
52;2021-01-20;7510;35561
52;2021-01-21;11063;46624
52;2021-01-22;6805;53429
52;2021-01-23;1660;55089
52;2021-01-24;174;55263
52;2021-01-25;2887;58150
52;2021-01-26;6355;64505
52;2021-01-27;6354;70859
53;2021-01-02;1;1
53;2021-01-04;40;41
53;2021-01-05;198;239
53;2021-01-06;326;565
53;2021-01-07;817;1382
53;2021-01-08;1197;2579
53;2021-01-09;33;2612
53;2021-01-11;1596;4208
53;2021-01-12;3032;7240
53;2021-01-13;3084;10324
53;2021-01-14;3429;13753
53;2021-01-15;3048;16801
53;2021-01-16;679;17480
53;2021-01-17;180;17660
53;2021-01-18;3142;20802
53;2021-01-19;7632;28434
53;2021-01-20;6566;35000
53;2021-01-21;10087;45087
53;2021-01-22;7290;52377
53;2021-01-23;1454;53831
53;2021-01-24;252;54083
53;2021-01-25;3018;57101
53;2021-01-26;3945;61046
53;2021-01-27;6386;67432
75;2020-12-29;2;2
75;2021-01-04;85;87
75;2021-01-05;90;177
75;2021-01-06;703;880
75;2021-01-07;4635;5515
75;2021-01-08;5028;10543
75;2021-01-09;826;11369
75;2021-01-10;473;11842
75;2021-01-11;3235;15077
75;2021-01-12;5591;20668
75;2021-01-13;6123;26791
75;2021-01-14;7529;34320
75;2021-01-15;6804;41124
75;2021-01-16;1473;42597
75;2021-01-17;405;43002
75;2021-01-18;6384;49386
75;2021-01-19;13201;62587
75;2021-01-20;14289;76876
75;2021-01-21;15821;92697
75;2021-01-22;12295;104992
75;2021-01-23;4302;109294
75;2021-01-24;672;109966
75;2021-01-25;8540;118506
75;2021-01-26;10658;129164
75;2021-01-27;11107;140271
76;2020-12-31;1;1
76;2021-01-03;1;2
76;2021-01-04;58;60
76;2021-01-05;461;521
76;2021-01-06;757;1278
76;2021-01-07;2423;3701
76;2021-01-08;3015;6716
76;2021-01-09;1459;8175
76;2021-01-10;461;8636
76;2021-01-11;3238;11874
76;2021-01-12;5215;17089
76;2021-01-13;5918;23007
76;2021-01-14;8284;31291
76;2021-01-15;6613;37904
76;2021-01-16;1854;39758
76;2021-01-17;664;40422
76;2021-01-18;7194;47616
76;2021-01-19;10541;58157
76;2021-01-20;12881;71038
76;2021-01-21;15399;86437
76;2021-01-22;11050;97487
76;2021-01-23;3797;101284
76;2021-01-24;707;101991
76;2021-01-25;7485;109476
76;2021-01-26;9188;118664
76;2021-01-27;9586;128250
84;2020-12-28;6;6
84;2020-12-29;5;11
84;2020-12-30;5;16
84;2020-12-31;11;27
84;2021-01-02;1;28
84;2021-01-04;172;200
84;2021-01-05;422;622
84;2021-01-06;1045;1667
